nodes,workers,graph,sources,failed_variants,current,old-fixed,tuned-fixed,open,riken,gap,riken_ratio,riken_ci_low,riken_ci_high,gap_ratio,gap_ci_low,gap_ci_high,control_ratio,control_ci_low,control_ci_high,tuned-fixed_ratio,tuned-fixed_ci_low,tuned-fixed_ci_high,old-fixed_ratio,old-fixed_ci_low,old-fixed_ci_high,open_ratio,open_ci_low,open_ci_high
1,64,rmat22,8,,0.9500385834452673,1.0056953363908328,0.953433239743686,1.0456419386210343,0.17325436356252058,0.18302663058222624,0.1823656076516622,0.16293762838881554,0.20102259801093605,0.19265178675005953,0.16738505200321724,0.21842422859172925,1.2180752459254045,1.0934499305025946,1.3681179628080473,1.0035731772978191,0.8715983263373656,1.1424159678674959,1.0585836764057825,0.9162440478788905,1.228235509628284,1.1006310236675507,0.9798481789276833,1.2475241921172726
1,64,road-ny,8,,0.6139734315343378,1.9117820625677637,0.5488821137478052,0.6158421801655688,0.13629630862192024,0.009167983289623108,0.22199056444724602,0.20969072291839233,0.23540466441043859,0.014932215009226125,0.014144120682220753,0.015732496627282513,1.003469681049584,0.9788349644844301,1.0319363964846202,0.8939834943283009,0.8432874437138383,0.9436575461083697,3.1137863047105534,3.001957259279179,3.2235551644251794,1.0030436962501146,0.9797726802564436,1.0225606465494097
1,64,youtube,8,,0.1420379064708241,0.2753688864615174,0.10988296647520084,0.09616634306457443,0.04574600502104355,0.03289118631242384,0.32206898959356456,0.26744148712175464,0.3759330204437684,0.23156625671035216,0.19926459880329264,0.2658248318964152,1.005967078995097,0.9660457754452147,1.060518935767038,0.7736171928003727,0.6539180499077694,0.9039612500784977,1.938699980192124,1.5830770169401516,2.283029956855674,0.6770470324013673,0.5952219945603551,0.7505780771797345
1,120,mesh22,8,,5.565299761227805,8.352707916994177,4.6778109401740116,5.717497389025588,6.154587687561096,0.1043518885801875,1.1058861070590895,0.8332159083989523,1.4170777035442643,0.018750452456700303,0.01564330965250579,0.02300019385758599,1.009046022251849,0.9676115096837492,1.0516183968474555,0.8405317127323979,0.7312119857224241,0.9443991123270017,1.500854989911886,1.3295401646830212,1.7255042691918434,1.0273476064772127,0.9913074671880302,1.0740318120230217
1,120,rmat22,8,tuned-fixed,4.3939999292566565,2.3832275455121232,,4.693077129180747,0.1751988948760161,0.3037209213487079,0.03987230261645791,0.029633724580968836,0.05610485684019519,0.06912174015444036,0.05298172553228878,0.09463766081080276,1.0903023537832206,0.8470800707146937,1.40059868608723,,,,0.542382244852539,0.4369380969685196,0.67914951329403,1.0680649077695106,0.8702546333169839,1.361115090936926
2,16,mesh20,8,current,,0.7508989683423416,0.3626267837387126,0.49135913410050447,1.2879452074901214,,,,,,,,,,,,,,,,,,,
2,16,mesh22,8,,0.892239615325414,1.2867294194547982,0.8165258621831238,1.0714666940405948,6.090438824026409,,6.826012563682379,6.228813113672618,7.5981612292191665,,,,0.9692999086876437,0.8729600550360128,1.05386754272595,0.9151419060061841,0.8290544363178529,0.9915319517635519,1.4421343743916903,1.3310068375443533,1.5888534506040675,1.200873258300478,1.0838644314373846,1.3447887047081784
2,16,rmat20,8,,0.1713306035548185,0.18647050216575534,0.16810069317086357,0.1756657525427854,0.037190870371580614,,0.21707079529245416,0.21084315726051167,0.2230215759457138,,,,1.1509513447509498,1.0209169967648761,1.3239212143113595,0.9811480826137318,0.9385507498395251,1.0278121454044449,1.0883665748956095,1.0128730932423273,1.1553866259824361,1.025302829138636,0.9668716416563331,1.1152579231233402
2,16,rmat20-s2,8,,0.1828858770594315,0.19408852621064843,0.17564629872859341,0.17954054822468118,0.03607345129226493,,0.19724569153331792,0.18963246706568007,0.20573668726633848,,,,0.9913488639669655,0.9185373029882068,1.0715966352916066,0.9604147764319414,0.8834511085258688,1.0317565851163784,1.0612548619463738,0.9491882389542593,1.1668167901686188,0.9817081073260613,0.9398304835117004,1.0152335335846674
2,16,rmat22,8,,0.6626402463413027,0.6589868220134268,0.640018079202673,0.6697630256246614,0.08772488607643023,,0.13238689705431234,0.12332233126675737,0.14299997916340765,,,,0.9945834216975561,0.8978634068794169,1.1404623539271155,0.9658605596874992,0.9421175524825581,0.9901051522616092,0.994486564394409,0.909257869698618,1.071383511334952,1.0107490894534197,0.9250201606281995,1.099539817304759
