nodes,workers,graph,variant,runs,seconds_median,reductions_median,updates_noted_median,distance_changes_median,rejected_median,tram_bytes_median,tram_messages_median,bucket_scale_median,coarsenings_median,read_seconds_median
1,64,rmat22,open,16,0.954644,39.5,151022394.5,7347679.0,148540380.0,3625752268.0,76910.0,10.0,1.0,0.0
1,64,rmat22,tuned-fixed,16,0.8741509999999999,44.5,152800698.0,7807823.0,150274365.5,3668432856.0,76008.0,1.0,0.0,0.0
1,64,road-ny,control,16,0.6106609999999999,235.0,28934282.0,11171966.5,18470847.0,695150488.0,53034.0,1.0,0.0,0.0
1,64,road-ny,current,16,0.602318,241.0,29011399.5,11353581.5,18385252.0,697153612.0,51017.5,1.0,0.0,0.0
1,64,road-ny,old-fixed,16,1.915074,3920.0,17486389.0,6593956.0,11224531.0,420033960.0,22294.5,1.0,0.0,0.0
1,64,road-ny,open,16,0.6034665,230.0,29186994.5,11307688.5,18580203.0,701325268.0,51211.5,1.0,0.0,0.0
1,64,road-ny,tuned-fixed,16,0.5522724999999999,751.0,18671523.5,7211297.0,11808062.5,448466396.0,21709.0,1.0,0.0,0.0
1,64,youtube,control,16,0.136227,107.5,12634816.5,2953582.5,11123489.5,303365172.0,8972.5,8.5,1.0,0.0
1,64,youtube,current,16,0.1304905,110.5,11856731.0,2786188.0,10407324.0,284680464.0,7653.0,9.0,1.0,0.0
1,64,youtube,old-fixed,16,0.27461250000000004,364.0,13118442.0,3419466.5,11609638.5,314978608.0,8676.5,1.0,0.0,0.0
1,64,youtube,open,16,0.0937855,36.5,12700295.5,2852786.0,11198702.0,304924444.0,7638.5,13.0,2.0,0.0
1,64,youtube,tuned-fixed,16,0.1130485,69.0,11699503.0,2972047.0,10246940.5,280892176.0,6890.5,1.0,0.0,0.0
1,120,mesh22,control,16,5.746569,284.5,585838877.5,160989663.5,439298328.0,14065267172.0,319282.0,1.0,0.0,0.0
1,120,mesh22,current,16,5.392469999999999,313.0,543369094.0,149799010.5,407455836.5,13045696424.0,302387.0,1.0,0.0,0.0
1,120,mesh22,old-fixed,16,8.011481999999999,3846.5,441084591.0,118006562.0,330757425.0,10589756824.0,232916.5,1.0,0.0,0.0
1,120,mesh22,open,16,5.4380965,302.0,561569594.5,155593090.5,421114084.5,13482573100.0,306428.5,1.0,0.0,0.0
1,120,mesh22,tuned-fixed,16,4.653465499999999,837.0,445921463.5,119103902.5,334382010.5,10705914044.0,237434.0,1.0,0.0,0.0
1,120,rmat22,control,16,5.5648415,71.5,258801942.0,10477569.0,254795305.5,6219339120.0,346882.5,7.0,1.0,0.0
1,120,rmat22,current,16,5.1026655000000005,72.5,245931464.5,10086395.5,242393766.5,5907732148.0,327311.0,7.0,1.0,0.0
1,120,rmat22,old-fixed,16,2.5439645,176.0,267769865.0,10602099.5,263798177.5,6428625232.0,134281.0,1.0,0.0,0.0
1,120,rmat22,open,16,4.9742045,34.0,232880181.5,9469531.5,229036517.5,5596692348.0,327933.0,9.5,1.0,0.0
1,120,rmat22,tuned-fixed,12,2.4009345,185.5,244531605.5,9552091.5,241554207.0,5870788972.0,130016.5,1.0,0.0,0.0
2,16,mesh20,control,16,0.389487,2005.5,7926591.5,2471637.0,5942468.0,190886284.0,40952.0,62.0,2.5,0.0
2,16,mesh20,current,15,0.354828,2076.0,8543318.0,2644352.0,6404994.0,205779208.0,42172.0,44,2,0.0
2,16,mesh20,old-fixed,16,0.763908,4297.0,49984753.5,13780465.0,37475492.5,1200133228.0,30686.0,1.0,0.0,0.0
2,16,mesh20,open,16,0.495928,685.5,63136395.0,17578969.0,47336975.5,1515993264.0,43702.0,1.0,0.0,0.0
2,16,mesh20,tuned-fixed,16,0.3711195,2700.5,6469844.5,2068533.5,4850372.0,155781492.0,38319.5,1.0,0.0,0.0
2,16,mesh22,control,16,0.9227110000000001,6182.0,20205591.0,6689103.5,15150696.5,486580664.0,102677.5,41.0,2.0,0.0
2,16,mesh22,current,16,0.868125,5605.5,20523725.5,6782882.5,15389446.0,494300364.0,101848.0,38.0,2.0,0.0
2,16,mesh22,old-fixed,16,1.3392215,4148.5,104096874.5,29453643.0,78057553.5,2499223732.0,56173.0,1.0,0.0,0.0
2,16,mesh22,open,16,1.055044,1324.0,106742549.5,30119633.0,80042067.0,2563032356.0,73061.0,368.0,5.0,0.0
2,16,mesh22,tuned-fixed,16,0.85582,5313.5,22455540.0,7329756.0,16838547.0,540263936.0,83205.5,1.0,0.0,0.0
2,16,rmat20,control,16,0.1725755,74.5,40242753.5,2211878.0,39590016.0,966153572.0,20469.5,10.0,1.0,0.0
2,16,rmat20,current,16,0.17153600000000002,70.5,39962562.5,2149024.5,39308904.0,959431572.0,20567.5,9.5,1.0,0.0
2,16,rmat20,old-fixed,16,0.1875755,214.0,40154640.5,2115779.0,39502722.0,964065724.0,22522.0,1.0,0.0,0.0
2,16,rmat20,open,16,0.1704635,37.0,40508320.0,2188489.0,39850330.5,972523048.0,20230.0,10.0,1.0,0.0
2,16,rmat20,tuned-fixed,16,0.1636935,61.5,40005738.0,2231778.0,39348358.5,960457976.0,19971.5,1.0,0.0,0.0
2,16,rmat20-s2,control,16,0.1778555,69.0,40785381.0,2151081.5,40131168.5,979183936.0,20810.5,9.0,1.0,0.0
2,16,rmat20-s2,current,16,0.1807005,65.0,40567860.5,2189745.5,39910725.5,973957300.0,20577.5,9.0,1.0,0.0
2,16,rmat20-s2,old-fixed,16,0.195473,227.0,41007097.5,2229656.5,40355248.0,984542204.0,23243.0,1.0,0.0,0.0
2,16,rmat20-s2,open,16,0.17825,36.5,41638205.5,2193043.5,40978893.0,999650020.0,20819.5,8.5,1.0,0.0
2,16,rmat20-s2,tuned-fixed,16,0.1781215,40.5,42565761.0,2214353.5,41909479.0,1021925952.0,21732.0,1.0,0.0,0.0
2,16,rmat22,control,16,0.621893,110.0,136525889.5,6661834.0,134118113.0,3277704516.0,68059.0,7.5,1.0,0.0
2,16,rmat22,current,16,0.6228214999999999,113.0,139741671.5,6807229.5,137333653.0,3354911204.0,69444.5,7.5,1.0,0.0
2,16,rmat22,old-fixed,16,0.662447,314.0,138177037.5,6646184.5,135778058.5,3317407636.0,71890.0,1.0,0.0,0.0
2,16,rmat22,open,16,0.6339539999999999,64.0,139306669.0,6989295.5,136890002.5,3344457304.0,68613.0,8.5,1.0,0.0
2,16,rmat22,tuned-fixed,16,0.6319980000000001,67.5,140360529.5,6960749.5,137944196.5,3369783556.0,70679.5,1.0,0.0,0.0
2,16,road-ny,control,16,0.216208,336.0,19804338.5,7707238.5,12619485.0,475869748.0,36193.0,1.0,0.0,0.0
2,16,road-ny,current,16,0.22061199999999997,346.5,19498317.0,7620285.5,12387999.5,468574920.0,36239.5,1.0,0.0,0.0
2,16,road-ny,old-fixed,16,0.576149,3827.5,12435646.0,4718101.0,7940377.5,298696504.0,14410.5,1.0,0.0,0.0
2,16,road-ny,open,16,0.2172595,339.5,19719595.0,7659135.5,12581463.5,473866320.0,36690.0,1.0,0.0,0.0
2,16,road-ny,tuned-fixed,16,0.14291949999999998,1163.0,3048606.5,1177497.5,1967421.5,73370268.0,12593.5,1.0,0.0,0.0
2,16,uniform20,control,16,0.16466599999999998,79.5,34254655.5,3501415.0,33185380.5,822401284.0,17329.5,10.0,1.0,0.0
2,16,uniform20,current,16,0.1634425,77.0,34150087.5,3459250.0,33083811.5,819888144.0,17241.5,10.0,1.0,0.0
2,16,uniform20,old-fixed,16,0.18432500000000002,402.0,33590003.0,3263665.0,32539672.0,806449992.0,18005.0,1.0,0.0,0.0
2,16,uniform20,open,16,0.1661805,40.0,34395826.5,3499252.5,33321317.0,825775228.0,17196.5,10.0,1.0,0.0
2,16,uniform20,tuned-fixed,16,0.16650399999999999,51.0,34324847.0,3513435.5,33252276.5,824081664.0,17788.0,1.0,0.0,0.0
2,16,uniform20-s2,control,16,0.167438,80.5,34309255.0,3533466.5,33239730.0,823705272.0,17387.0,10.0,1.0,0.0
2,16,uniform20-s2,current,16,0.167711,78.5,34396143.0,3509804.0,33323928.5,825785344.0,17421.0,10.0,1.0,0.0
2,16,uniform20-s2,old-fixed,16,0.18517850000000002,400.0,33646369.5,3279008.0,32595646.5,807801732.0,18019.5,1.0,0.0,0.0
2,16,uniform20-s2,open,16,0.16749750000000002,40.5,34587455.0,3552761.5,33508850.0,830375408.0,17282.0,10.0,1.0,0.0
2,16,uniform20-s2,tuned-fixed,16,0.168305,64.5,34500013.0,3577218.0,33424044.0,828275288.0,17172.0,1.0,0.0,0.0
2,16,youtube,control,16,0.118518,202.0,9388121.0,2437753.0,8156785.5,225523728.0,6504.0,9.5,1.0,0.0
2,16,youtube,current,16,0.12319450000000001,220.0,9299456.0,2380752.5,8037132.5,223307656.0,6902.5,8.0,1.0,0.0
2,16,youtube,old-fixed,16,0.132718,577.5,8758470.5,2323169.0,7560083.5,210333252.0,8521.0,1.0,0.0,0.0
2,16,youtube,open,16,0.1033635,64.0,9758132.0,2625692.5,8470521.5,234284120.0,5573.0,12.5,1.0,0.0
2,16,youtube,tuned-fixed,16,0.112571,103.5,9515463.0,2512947.5,8229461.0,228478416.0,6643.0,1.0,0.0,0.0
4,16,mesh22,control,16,1.1131665,814.0,278983691.0,78506144.5,209205292.0,6698646136.0,180950.5,1.0,0.0,0.0
4,16,mesh22,current,16,1.0781044999999998,825.5,279810571.5,79370100.0,209825158.0,6718286900.0,176678.0,1.0,0.0,0.0
4,16,mesh22,old-fixed,16,1.2906870000000001,4585.5,195628525.0,53386256.5,146695332.5,4696807880.0,108191.5,1.0,0.0,0.0
4,16,mesh22,open,16,1.07804,798.5,281320964.5,79640467.5,210960757.0,6754444932.0,176540.0,1.0,0.0,0.0
4,16,mesh22,tuned-fixed,16,0.7762370000000001,4929.0,25413677.0,8135442.5,19056240.5,612187304.0,152223.0,1.0,0.0,0.0
4,16,rmat22,control,16,0.34070500000000004,77.0,150570565.5,7415411.0,148155331.5,3614935644.0,77878.5,8.5,1.0,0.0
4,16,rmat22,current,16,0.335425,77.5,153099800.5,7621777.0,150685946.0,3675661724.0,78670.0,8.0,1.0,0.0
4,16,rmat22,old-fixed,16,0.3802225,255.5,149463587.5,7218541.0,147059146.5,3588506036.0,85858.0,1.0,0.0,0.0
